Approved symbol	Approved name	Status	Alias symbols	Gene group name
ACRP1	ACR pseudogene 1	Approved		
ACRV1	acrosomal vesicle protein 1	Approved	"SPACA2, SP-10, D11S4365"	
ACS3	"symbol withdrawn, see [HGNC:12428](/data/gene-symbol-report/#!/hgnc_id/HGNC:12428)"	Symbol Withdrawn		
ACSBG1	acyl-CoA synthetase bubblegum family member 1	Approved	"BGM, FLJ30320, MGC14352, BG1, KIAA0631, hBG1, hsBG"	Acyl-CoA synthetase family
ACSBG2	acyl-CoA synthetase bubblegum family member 2	Approved	"BGR, PRTD-NY3, DKFZp434K1635"	Acyl-CoA synthetase family
ACSF2	acyl-CoA synthetase family member 2	Approved	"FLJ20920, ACSMW"	Acyl-CoA synthetase family
ACSF3	acyl-CoA synthetase family member 3	Approved		Acyl-CoA synthetase family
ACSL1	acyl-CoA synthetase long chain family member 1	Approved	"LACS2, LACS, ACS1, LACS1, FACL1"	Acyl-CoA synthetase family
ACSL3	acyl-CoA synthetase long chain family member 3	Approved	"ACS3, PRO2194"	Acyl-CoA synthetase family
ACSL3-AS1	ACSL3 antisense RNA 1	Approved		Antisense RNAs
ACSL4	acyl-CoA synthetase long chain family member 4	Approved	"ACS4, LACS4"	Acyl-CoA synthetase family
ACSL5	acyl-CoA synthetase long chain family member 5	Approved	"ACS5, ACS2"	Acyl-CoA synthetase family
ACSL6	acyl-CoA synthetase long chain family member 6	Approved	"KIAA0837, ACS2, LACS5, LACS2"	Acyl-CoA synthetase family
ACSL6-AS1	ACSL6 antisense RNA 1	Approved		Antisense RNAs
ACSM1	acyl-CoA synthetase medium chain family member 1	Approved	MACS1	Acyl-CoA synthetase family
ACSM2A	acyl-CoA synthetase medium chain family member 2A	Approved	"A-923A4.1, MGC150530"	Acyl-CoA synthetase family
ACSM2B	acyl-CoA synthetase medium chain family member 2B	Approved	"HXMA, HYST1046"	Acyl-CoA synthetase family
ACSM3	acyl-CoA synthetase medium chain family member 3	Approved	SA	Acyl-CoA synthetase family
ACSM4	acyl-CoA synthetase medium chain family member 4	Approved		Acyl-CoA synthetase family
ACSM5	acyl-CoA synthetase medium chain family member 5	Approved	FLJ20581	Acyl-CoA synthetase family
ACSM5P1	acyl-CoA synthetase medium chain family member 5 pseudogene 1	Approved		
ACSM6	acyl-CoA synthetase medium chain family member 6	Approved	bA310E22.3	Acyl-CoA synthetase family
ACSS1	acyl-CoA synthetase short chain family member 1	Approved	"dJ568C11.3, AceCS2L, MGC33843"	Acyl-CoA synthetase family
ACSS2	acyl-CoA synthetase short chain family member 2	Approved	"ACS, ACSA, AceCS, dJ1161H23.1"	Acyl-CoA synthetase family
ACSS3	acyl-CoA synthetase short chain family member 3	Approved	FLJ21963	MicroRNA protein coding host genes|Acyl-CoA synthetase family
ACTA1	"actin alpha 1, skeletal muscle"	Approved	NEM3	Actins
ACTA2	"actin alpha 2, smooth muscle"	Approved	ACTSA	Actins
ACTA2-AS1	ACTA2 antisense RNA 1	Approved	"uc001kfo.1, ZXF1, UC001kfo"	Antisense RNAs
ACTA3	"symbol withdrawn, see [HGNC:145](/data/gene-symbol-report/#!/hgnc_id/HGNC:145)"	Symbol Withdrawn		
ACTB	actin beta	Approved		Actins|PBAF complex|BAF complex|GBAF complex
ACTBL2	actin beta like 2	Approved	DKFZp686D0972	Actins
ACTBP1	ACTB pseudogene 1	Approved		
ACTBP2	ACTB pseudogene 2	Approved		
ACTBP3	ACTB pseudogene 3	Approved		
ACTBP4	ACTB pseudogene 4	Approved		
ACTBP5	"actin, beta pseudogene 5"	Entry Withdrawn		
ACTBP6	ACTB pseudogene 6	Approved		
ACTBP7	ACTB pseudogene 7	Approved		
ACTBP8	ACTB pseudogene 8	Approved	ACTBP2	
ACTBP9	ACTB pseudogene 9	Approved		
ACTBP10	ACTB pseudogene 10	Approved		
ACTBP11	ACTB pseudogene 11	Approved		
ACTBP12	ACTB pseudogene 12	Approved		
ACTBP13	ACTB pseudogene 13	Approved		
ACTBP14	ACTB pseudogene 14	Approved		
ACTBP15	ACTB pseudogene 15	Approved		
ACTC1	actin alpha cardiac muscle 1	Approved	CMD1R	Actins
ACTE1P	"actin epsilon 1, pseudogene"	Approved		
ACTG1	actin gamma 1	Approved		Actins
ACTG1P1	actin gamma 1 pseudogene 1	Approved		
ACTG1P2	actin gamma 1 pseudogene 2	Approved		
ACTG1P3	actin gamma 1 pseudogene 3	Approved		
ACTG1P4	actin gamma 1 pseudogene 4	Approved		
ACTG1P6	actin gamma 1 pseudogene 6	Approved		
ACTG1P7	actin gamma 1 pseudogene 7	Approved		
ACTG1P8	actin gamma 1 pseudogene 8	Approved		
ACTG1P9	actin gamma 1 pseudogene 9	Approved		
ACTG1P10	actin gamma 1 pseudogene 10	Approved		
ACTG1P11	actin gamma 1 pseudogene 11	Approved		
ACTG1P12	actin gamma 1 pseudogene 12	Approved		
ACTG1P13	actin gamma 1 pseudogene 13	Approved		
ACTG1P14	actin gamma 1 pseudogene 14	Approved		
ACTG1P15	actin gamma 1 pseudogene 15	Approved		
ACTG1P16	actin gamma 1 pseudogene 16	Approved		
ACTG1P17	actin gamma 1 pseudogene 17	Approved		
ACTG1P18	actin gamma 1 pseudogene 18	Approved		
ACTG1P19	actin gamma 1 pseudogene 19	Approved		
ACTG1P20	actin gamma 1 pseudogene 20	Approved		
ACTG1P21	actin gamma 1 pseudogene 21	Approved		
ACTG1P22	actin gamma 1 pseudogene 22	Approved		
ACTG1P23	actin gamma 1 pseudogene 23	Approved		
ACTG1P24	actin gamma 1 pseudogene 24	Approved		
ACTG1P25	actin gamma 1 pseudogene 25	Approved	AGPG	
ACTG2	"actin gamma 2, smooth muscle"	Approved	ACTSG	Actins
ACTL2	"symbol withdrawn, see [HGNC:147](/data/gene-symbol-report/#!/hgnc_id/HGNC:147)"	Symbol Withdrawn		
ACTL3	"symbol withdrawn, see [HGNC:145](/data/gene-symbol-report/#!/hgnc_id/HGNC:145)"	Symbol Withdrawn		
ACTL4	actin-like 4	Entry Withdrawn		
ACTL5	actin-like 5	Entry Withdrawn	ACTFIB	
ACTL6A	actin like 6A	Approved	"Actl6, BAF53A, Arp4, Baf53a, INO80K"	INO80 complex |SRCAP complex|Actin related proteins|PBAF complex|BAF complex|GBAF complex
ACTL6B	actin like 6B	Approved	BAF53B	Actin related proteins|PBAF complex|BAF complex|GBAF complex
ACTL7A	actin like 7A	Approved		Actin related proteins
ACTL7B	actin like 7B	Approved	Tact1	Actin related proteins
ACTL8	actin like 8	Approved	CT57	Actin related proteins
ACTL9	actin like 9	Approved	MGC33407	Actin related proteins
ACTL10	actin like 10	Approved		Actin related proteins
ACTN1	actinin alpha 1	Approved		Actinins
ACTN1-AS1	ACTN1 antisense RNA 1	Approved		Antisense RNAs
ACTN2	actinin alpha 2	Approved		Actinins
ACTN3	actinin alpha 3	Approved		Actinins
ACTN4	actinin alpha 4	Approved		Actinins
ACTN4P1	actinin alpha 4 pseudogene 1	Approved		
ACTN4P2	actinin alpha 4 pseudogene 2	Approved		
ACTP1	actin family pseudogene 1	Approved		
ACTR1A	actin related protein 1A	Approved	"ARP1, Arp1A"	Actin related proteins
ACTR1AP1	ACTR1A pseudogene 1	Approved		
ACTR1B	actin related protein 1B	Approved	Arp1B	Actin related proteins
ACTR2	actin related protein 2	Approved	ARP2	Actin related proteins|Actin related protein 2/3 complex subunits
ACTR3	actin related protein 3	Approved	ARP3	Actin related protein 2/3 complex subunits|Actin related proteins
ACTR3-AS1	ACTR3 antisense RNA 1	Approved	AC104653.1	Antisense RNAs
ACTR3B	actin related protein 3B	Approved	"ARP11, ARP3beta"	Actin related proteins
ACTR3BP1	ACTR3B pseudogene 1	Approved		
ACTR3BP2	ACTR3B pseudogene 2	Approved	FKSG73	
ACTR3BP3	ACTR3B pseudogene 3	Approved		
ACTR3BP4	ACTR3B pseudogene 4	Approved		
ACTR3BP5	ACTR3B pseudogene 5	Approved		
ACTR3BP6	ACTR3B pseudogene 6	Approved		
ACTR3BP7	ACTR3B pseudogene 7	Approved		
ACTR3C	actin related protein 3C	Approved	ARP11	Actin related proteins
ACTR3P1	ACTR3 pseudogene 1	Approved		
ACTR3P2	ACTR3 pseudogene 2	Approved		
ACTR3P3	ACTR3 pseudogene 3	Approved		
ACTR5	actin related protein 5	Approved	"FLJ12785, Arp5, INO80M"	Actin related proteins|INO80 complex 
ACTR6	actin related protein 6	Approved	"ARP6, FLJ13433"	SRCAP complex|Actin related proteins
ACTR6P1	ACTR6 pseudogene 1	Approved		
ACTR8	actin related protein 8	Approved	"INO80N, ARP8"	INO80 complex |Actin related proteins
ACTR10	actin related protein 10	Approved	"HARP11, ACTR11, Arp11, Arp10"	Actin related proteins
ACTRT1	actin related protein T1	Approved	"AIP1, KIAA0705, ARIP1, Arp-T1"	Actin related proteins
ACTRT1P1	ACTRT1 pseudogene 1	Approved		
ACTRT2	actin related protein T2	Approved	"Arp-T2, ARPM2, FLJ25424"	Actin related proteins
ACTRT3	actin related protein T3	Approved	ARPM1	Actin related proteins
ACVR1	activin A receptor type 1	Approved	"SKR1, ALK2, ACVR1A"	Type 1 receptor serine/threonine kinases
ACVR1B	activin A receptor type 1B	Approved	"ALK4, SKR2, ActRIB"	Type 1 receptor serine/threonine kinases
ACVR1C	activin A receptor type 1C	Approved	"ALK7, ACVRLK7"	Type 1 receptor serine/threonine kinases
ACVR2A	activin A receptor type 2A	Approved	ACTRII	Type 2 receptor serine/threonine kinases
ACVR2B	activin A receptor type 2B	Approved	ActR-IIB	Type 2 receptor serine/threonine kinases
ACVR2B-AS1	ACVR2B antisense RNA 1	Approved		Antisense RNAs
ACVRL1	activin A receptor like type 1	Approved	"HHT2, ALK1, HHT"	Type 1 receptor serine/threonine kinases
ACVRLK2	"symbol withdrawn, see [HGNC:171](/data/gene-symbol-report/#!/hgnc_id/HGNC:171)"	Symbol Withdrawn		
ACY1	aminoacylase 1	Approved		
ACY1L	"symbol withdrawn, see [HGNC:26295](/data/gene-symbol-report/#!/hgnc_id/HGNC:26295)"	Symbol Withdrawn	AN	
ACY3	aminoacylase 3	Approved	"HCBP1, MGC9740, ACY-3"	
ACYP1	acylphosphatase 1	Approved		
ACYP2	acylphosphatase 2	Approved		
AD1	"symbol withdrawn, see [HGNC:620](/data/gene-symbol-report/#!/hgnc_id/HGNC:620)"	Symbol Withdrawn		
AD2	"symbol withdrawn, see [HGNC:613](/data/gene-symbol-report/#!/hgnc_id/HGNC:613)"	Symbol Withdrawn		
AD3	"symbol withdrawn, see [HGNC:9508](/data/gene-symbol-report/#!/hgnc_id/HGNC:9508)"	Symbol Withdrawn		
AD4	"symbol withdrawn, see [HGNC:9509](/data/gene-symbol-report/#!/hgnc_id/HGNC:9509)"	Symbol Withdrawn		
AD5	Alzheimer disease 5	Entry Withdrawn		
ADA	adenosine deaminase	Approved		Adenosine deaminase family
ADA2	adenosine deaminase 2	Approved	ADGF	Adenosine deaminase family
ADAD1	adenosine deaminase domain containing 1	Approved	Tenr	Adenosine deaminases acting on RNA
ADAD1P1	adenosine deaminase domain containing 1 pseudogene 1	Approved		
ADAD1P2	adenosine deaminase domain containing 1 pseudogene 2	Approved		
ADAD2	adenosine deaminase domain containing 2	Approved	"TENRL, FLJ00337"	Adenosine deaminases acting on RNA
ADAL	adenosine deaminase like	Approved		Adenosine deaminase family
ADAM1A	ADAM metallopeptidase domain 1A (pseudogene)	Approved	"FTNAP, PH-30a, Ftna, ADAM1P"	ADAM metallopeptidase domain containing
ADAM1B	ADAM metallopeptidase domain 1B (pseudogene)	Approved		ADAM metallopeptidase domain containing
ADAM2	ADAM metallopeptidase domain 2	Approved	"PH-30b, PH30, CT15"	ADAM metallopeptidase domain containing
ADAM3A	ADAM metallopeptidase domain 3A (pseudogene)	Approved	"ADAM3, tMDCI"	ADAM metallopeptidase domain containing
ADAM3B	ADAM metallopeptidase domain 3B (pseudogene)	Approved		ADAM metallopeptidase domain containing
ADAM5	ADAM metallopeptidase domain 5 (pseudogene)	Approved	tMDCII	ADAM metallopeptidase domain containing
ADAM6	ADAM metallopeptidase domain 6 (pseudogene)	Approved	tMDCIV	ADAM metallopeptidase domain containing
ADAM7	ADAM metallopeptidase domain 7	Approved	"GP-83, EAPI"	ADAM metallopeptidase domain containing
ADAM8	ADAM metallopeptidase domain 8	Approved	"CD156, MS2, CD156A"	ADAM metallopeptidase domain containing|CD molecules
ADAM9	ADAM metallopeptidase domain 9	Approved	"MDC9, KIAA0021, MCMP, Mltng"	ADAM metallopeptidase domain containing
ADAM10	ADAM metallopeptidase domain 10	Approved	"kuz, MADM, HsT18717, CD156C"	ADAM metallopeptidase domain containing|CD molecules
ADAM11	ADAM metallopeptidase domain 11	Approved		ADAM metallopeptidase domain containing
ADAM12	ADAM metallopeptidase domain 12	Approved	"MCMPMltna, MLTN"	ADAM metallopeptidase domain containing
ADAM12-OT1	ADAM12 overlapping transcript 1 (non-protein coding)	Entry Withdrawn	"CAR10, FLJ31066"	
ADAM15	ADAM metallopeptidase domain 15	Approved	MDC15	ADAM metallopeptidase domain containing
ADAM17	ADAM metallopeptidase domain 17	Approved	"cSVP, CD156B"	ADAM metallopeptidase domain containing|CD molecules
ADAM18	ADAM metallopeptidase domain 18	Approved	"tMDCIII, ADAM27"	ADAM metallopeptidase domain containing
ADAM19	ADAM metallopeptidase domain 19	Approved	MLTNB	ADAM metallopeptidase domain containing
ADAM20	ADAM metallopeptidase domain 20	Approved		ADAM metallopeptidase domain containing
ADAM20P1	ADAM metallopeptidase domain 20 pseudogene 1	Approved		
ADAM20P2	ADAM metallopeptidase domain 20 pseudogene 2	Approved		
ADAM20P3	ADAM metallopeptidase domain 20 pseudogene 3	Approved		
ADAM21	ADAM metallopeptidase domain 21	Approved	ADAM31	ADAM metallopeptidase domain containing
ADAM21P1	ADAM metallopeptidase domain 21 pseudogene 1	Approved		
ADAM22	ADAM metallopeptidase domain 22	Approved	MDC2	ADAM metallopeptidase domain containing
ADAM23	ADAM metallopeptidase domain 23	Approved	MDC3	ADAM metallopeptidase domain containing
ADAM24P	"ADAM metallopeptidase domain 24, pseudogene"	Approved		ADAM metallopeptidase domain containing
ADAM28	ADAM metallopeptidase domain 28	Approved	"eMDCII, MDC-Lm, MDC-Ls, ADAM23"	ADAM metallopeptidase domain containing
ADAM29	ADAM metallopeptidase domain 29	Approved	"svph1, CT73"	ADAM metallopeptidase domain containing
ADAM30	ADAM metallopeptidase domain 30	Approved	svph4	ADAM metallopeptidase domain containing
ADAM32	ADAM metallopeptidase domain 32	Approved		ADAM metallopeptidase domain containing
ADAM33	ADAM metallopeptidase domain 33	Approved	"DKFZp434K0521, dJ964F7.1"	ADAM metallopeptidase domain containing
ADAMDEC1	ADAM like decysin 1	Approved	M12.219	
ADAMTS1	ADAM metallopeptidase with thrombospondin type 1 motif 1	Approved	"C3-C5, METH1, KIAA1346"	ADAM metallopeptidases with thrombospondin type 1 motif
ADAMTS2	ADAM metallopeptidase with thrombospondin type 1 motif 2	Approved	"ADAMTS-3, hPCPNI, PCINP, ADAM-TS2, NPI"	ADAM metallopeptidases with thrombospondin type 1 motif
ADAMTS3	ADAM metallopeptidase with thrombospondin type 1 motif 3	Approved	"KIAA0366, ADAMTS-4"	ADAM metallopeptidases with thrombospondin type 1 motif
ADAMTS4	ADAM metallopeptidase with thrombospondin type 1 motif 4	Approved	"KIAA0688, ADAMTS-2, ADMP-1"	ADAM metallopeptidases with thrombospondin type 1 motif
ADAMTS5	ADAM metallopeptidase with thrombospondin type 1 motif 5	Approved	"ADMP-2, ADAMTS11"	ADAM metallopeptidases with thrombospondin type 1 motif
ADAMTS6	ADAM metallopeptidase with thrombospondin type 1 motif 6	Approved	ADAM-TS6	ADAM metallopeptidases with thrombospondin type 1 motif
ADAMTS7	ADAM metallopeptidase with thrombospondin type 1 motif 7	Approved	"ADAM-TS7, DKFZp434H204"	ADAM metallopeptidases with thrombospondin type 1 motif
ADAMTS7P1	ADAMTS7 pseudogene 1	Approved		
ADAMTS7P2	"symbol withdrawn, see [HGNC:49407](/data/gene-symbol-report/#!/hgnc_id/HGNC:49407)"	Symbol Withdrawn		
ADAMTS7P3	ADAMTS7 pseudogene 3	Approved		
ADAMTS7P4	ADAMTS7 pseudogene 4	Approved		
ADAMTS8	ADAM metallopeptidase with thrombospondin type 1 motif 8	Approved	"METH2, FLJ41712, ADAM-TS8"	ADAM metallopeptidases with thrombospondin type 1 motif
ADAMTS9	ADAM metallopeptidase with thrombospondin type 1 motif 9	Approved	KIAA1312	ADAM metallopeptidases with thrombospondin type 1 motif
ADAMTS9-AS1	ADAMTS9 antisense RNA 1	Approved		Antisense RNAs
ADAMTS9-AS2	ADAMTS9 antisense RNA 2	Approved		Antisense RNAs
ADAMTS10	ADAM metallopeptidase with thrombospondin type 1 motif 10	Approved	ADAM-TS10	ADAM metallopeptidases with thrombospondin type 1 motif
ADAMTS12	ADAM metallopeptidase with thrombospondin type 1 motif 12	Approved		ADAM metallopeptidases with thrombospondin type 1 motif
ADAMTS13	ADAM metallopeptidase with thrombospondin type 1 motif 13	Approved	"VWFCP, TTP, vWF-CP, FLJ42993, MGC118899, MGC118900, DKFZp434C2322"	ADAM metallopeptidases with thrombospondin type 1 motif
ADAMTS14	ADAM metallopeptidase with thrombospondin type 1 motif 14	Approved		ADAM metallopeptidases with thrombospondin type 1 motif
ADAMTS15	ADAM metallopeptidase with thrombospondin type 1 motif 15	Approved		ADAM metallopeptidases with thrombospondin type 1 motif
ADAMTS16	ADAM metallopeptidase with thrombospondin type 1 motif 16	Approved	ADAMTS16s	ADAM metallopeptidases with thrombospondin type 1 motif
ADAMTS17	ADAM metallopeptidase with thrombospondin type 1 motif 17	Approved	"FLJ32769, FLJ16363"	ADAM metallopeptidases with thrombospondin type 1 motif
ADAMTS18	ADAM metallopeptidase with thrombospondin type 1 motif 18	Approved		ADAM metallopeptidases with thrombospondin type 1 motif
ADAMTS19	ADAM metallopeptidase with thrombospondin type 1 motif 19	Approved		ADAM metallopeptidases with thrombospondin type 1 motif
ADAMTS19-AS1	ADAMTS19 antisense RNA 1	Approved	RP11-346A9.1	Antisense RNAs
ADAMTS20	ADAM metallopeptidase with thrombospondin type 1 motif 20	Approved	GON-1	ADAM metallopeptidases with thrombospondin type 1 motif
ADAMTS21	"symbol withdrawn, see [HGNC:17110](/data/gene-symbol-report/#!/hgnc_id/HGNC:17110)"	Symbol Withdrawn		
ADAMTSL1	ADAMTS like 1	Approved	"ADAMTSR1, FLJ35283"	ADAMTS like|I-set domain containing|MicroRNA protein coding host genes
ADAMTSL2	ADAMTS like 2	Approved	KIAA0605	ADAMTS like
ADAMTSL3	ADAMTS like 3	Approved	"KIAA1233, punctin-2"	I-set domain containing|Immunoglobulin like domain containing|ADAMTS like
ADAMTSL4	ADAMTS like 4	Approved	DKFZP434K1772	ADAMTS like|MicroRNA protein coding host genes
ADAMTSL4-AS1	ADAMTSL4 antisense RNA 1	Approved	FLJ45786	Antisense RNAs
ADAMTSL4-AS2	ADAMTSL4 antisense RNA 2	Approved		Antisense RNAs
ADAMTSL5	ADAMTS like 5	Approved		ADAMTS like
ADAP1	ArfGAP with dual PH domains 1	Approved	GCS1L	ArfGAPs|Pleckstrin homology domain containing
ADAP2	ArfGAP with dual PH domains 2	Approved		Pleckstrin homology domain containing|ArfGAPs
ADAR	adenosine deaminase RNA specific	Approved	ADAR1	Adenosine deaminases acting on RNA
ADARB1	adenosine deaminase RNA specific B1	Approved	"ADAR2, DRADA2, ADAR2g, DRABA2, RED1, hRED1, ADAR2a-L1, ADAR2a-L2, ADAR2a-L3, ADAR2a, ADAR2b, ADAR2c, ADAR2d"	Adenosine deaminases acting on RNA
ADARB2	adenosine deaminase RNA specific B2 (inactive)	Approved	"RED2, hRED2, ADAR3"	Adenosine deaminases acting on RNA
ADARB2-AS1	ADARB2 antisense RNA 1	Approved	bA466B20.1	Antisense RNAs
ADAT1	adenosine deaminase tRNA specific 1	Approved		Adenosine deaminases acting on RNA
ADAT2	adenosine deaminase tRNA specific 2	Approved	"dJ20N2.1, TAD2"	Adenosine deaminases acting on RNA
ADAT3	adenosine deaminase tRNA specific 3	Approved	TAD3	Adenosine deaminases acting on RNA
ADCK1	aarF domain containing kinase 1	Approved	FLJ39600	
ADCK2	aarF domain containing kinase 2	Approved	MGC20727	
ADCK5	aarF domain containing kinase 5	Approved	FLJ35454	
ADCP1	adenosine deaminase complexing protein 1	Approved		
ADCP2	"symbol withdrawn, see [HGNC:3009](/data/gene-symbol-report/#!/hgnc_id/HGNC:3009)"	Symbol Withdrawn		
ADCR	"symbol withdrawn, see [HGNC:12797](/data/gene-symbol-report/#!/hgnc_id/HGNC:12797)"	Symbol Withdrawn		
ADCY1	adenylate cyclase 1	Approved	AC1	Adenylate cyclases
ADCY2	adenylate cyclase 2	Approved	"HBAC2, KIAA1060, AC2"	Adenylate cyclases
ADCY3	adenylate cyclase 3	Approved	AC3	Adenylate cyclases
ADCY4	adenylate cyclase 4	Approved	AC4	Adenylate cyclases
ADCY5	adenylate cyclase 5	Approved	AC5	Adenylate cyclases
ADCY6	adenylate cyclase 6	Approved	AC6	Adenylate cyclases|MicroRNA protein coding host genes
ADCY6-DT	ADCY6 divergent transcript	Approved		Divergent transcripts
ADCY7	adenylate cyclase 7	Approved	"KIAA0037, AC7"	MicroRNA protein coding host genes|Adenylate cyclases
ADCY8	adenylate cyclase 8	Approved	"HBAC1, AC8"	Adenylate cyclases
ADCY9	adenylate cyclase 9	Approved	AC9	Adenylate cyclases
ADCY10	adenylate cyclase 10	Approved	"SAC, Sacy, SACI, HCA2, RP1-313L4.2"	Adenylate cyclases
ADCY10P1	ADCY10 pseudogene 1	Approved		
ADCYAP1	adenylate cyclase activating polypeptide 1	Approved	PACAP	Neuropeptides
ADCYAP1R1	ADCYAP receptor type I	Approved	"PAC1, PACAPR, PAC1R"	Vasoactive intestinal peptide receptor family
ADD1	adducin 1	Approved		
ADD2	adducin 2	Approved	ADDB	
ADD3	adducin 3	Approved		
ADD3-AS1	ADD3 antisense RNA 1	Approved		Antisense RNAs
ADDL	"symbol withdrawn, see [HGNC:245](/data/gene-symbol-report/#!/hgnc_id/HGNC:245)"	Symbol Withdrawn		
ADFN	albinism-deafness syndrome	Entry Withdrawn		
ADGB	androglobin	Approved	"FLJ23121, dJ408K24.1, CAPN16"	Calpains
ADGRA1	adhesion G protein-coupled receptor A1	Approved	KIAA1828	"Adhesion G protein-coupled receptors, subfamily A"
ADGRA1-AS1	ADGRA1 antisense RNA 1	Approved		Antisense RNAs
ADGRA2	adhesion G protein-coupled receptor A2	Approved	"TEM5, DKFZp434C211, DKFZp434J0911, KIAA1531, FLJ14390"	"Immunoglobulin like domain containing|Adhesion G protein-coupled receptors, subfamily A"
